word,frequency
dead,57.0
damn,57.0
sounds,56.0
kind,56.0
honestly,56.0
cry,56.0
disappointed,56.0
lost,56.0
end,55.0
rn,55.0
&gt,55.0
'killed,55.0
almost,55.0
frustrated,55.0
via,55.0
stay,55.0
reading,55.0
wanted,54.0
tried,54.0
home,54.0
5,54.0
15,54.0
@kevintilsner,53.0
second,53.0
asked,53.0
f,53.0
verdict,53.0
moves',53.0
leave,52.0
wait,52.0
stand,52.0
small,52.0
law,52.0
theres,52.0
guess,52.0
deadly,52.0
12,52.0
friends,52.0
lmao,52.0
idk,52.0
laugh,52.0
guilty,52.0
kid,52.0
between,51.0
football,51.0
stuff,51.0
clearly,51.0
answer,51.0
shots,51.0
truth,51.0
high,51.0
opinion,51.0
money,51.0
carlson,50.0
knew,50.0
calm,50.0
far,50.0
aren't,50.0
using,50.0
moment,50.0
case,50.0
officers,50.0
@mandyferber,50.0
issue,49.0
children,49.0
become,49.0
seriously,49.0
defending,49.0
post,49.0
ago,49.0
@angry_rantman,49.0
kinda,49.0
heart,49.0
each,49.0
support,48.0
racism,48.0
watched,48.0
parents,48.0
hair,48.0
kennedy,48.0
under,48.0
irrationally,48.0
l,48.0
came,47.0
government,47.0
found,47.0
mass,47.0
league,47.0
@ajdelgado13,47.0
car,47.0
hit,47.0
allowed,47.0
one-year-old,46.0
lets,46.0
anymore,46.0
side,46.0
won't,46.0
mother,46.0
sick,46.0
rest,46.0
facts,46.0
felt,46.0
social,45.0
mind,45.0
g,45.0
definitely,45.0
bro,45.0
@gbrbill,45.0
name,45.0
dad,45.0
y,45.0
hell,45.0
@dezbatty,45.0
place,44.0
george,44.0
d,44.0
@marieow10889725,44.0
started,44.0
least,44.0
weapon,44.0
@tuckercarlson,44.0
quite,44.0
bird,44.0
yo,44.0
tweets,44.0
phone,43.0
thanks,43.0
system,43.0
turn,43.0
couldnt,43.0
clear,43.0
@marshalou2233,43.0
house,43.0
sense,43.0
tasers,43.0
decision,43.0
bitter,43.0
fun,43.0
stopped,42.0
type,42.0
comments,42.0
club,42.0
telling,42.0
omg,42.0
p,42.0
ones,42.0
eyes,42.0
glad,42.0
totally,41.0
knows,41.0
players,41.0
team,41.0
single,41.0
word,41.0
feels,41.0
weird,41.0
voice,41.0
especially,41.0
hey,41.0
shows,41.0
during,41.0
floyd,40.0
folks,40.0
movie,40.0
entire,40.0
i'll,40.0
looked,40.0
state,40.0
sleep,40.0
correct,40.0
giving,40.0
taking,40.0
able,40.0
ha,40.0
speak,40.0
supposed,40.0
working,39.0
confused,39.0
sound,39.0
past,39.0
@melneedsakidney,39.0
asking,39.0
act,39.0
hungry,39.0
control,39.0
crying,39.0
forget,39.0
hand,39.0
response,39.0
comes,39.0
lethal,39.0
herself,39.0
threat,39.0
gotta,39.0
playing,39.0
wouldn't,39.0
@_annie_cakes_,39.0
calling,39.0
easily,38.0
picture,38.0
week,38.0
trump,38.0
character,38.0
reply,38.0
self,38.0
completely,38.0
cute,38.0
nobody,37.0
coming,37.0
