word,frequency
hurt,45.0
cute,45.0
5,45.0
called,45.0
f,45.0
smh,45.0
pathetic,45.0
happen,45.0
weird,44.0
definitely,44.0
alone,44.0
turn,44.0
extremely,44.0
havent,44.0
laugh,44.0
leaving,44.0
working,44.0
dead,44.0
nice,44.0
realize,44.0
happening,43.0
c,43.0
girls,43.0
due,43.0
kid,43.0
favorite,43.0
become,43.0
change,43.0
says,43.0
guess,42.0
rather,42.0
d,42.0
knew,42.0
instead,42.0
free,42.0
cannot,42.0
there's,42.0
age,42.0
tbh,42.0
hot,41.0
ask,41.0
needs,41.0
absolutely,41.0
l,41.0
feels,41.0
gotta,41.0
generation,41.0
different,41.0
taking,41.0
started,40.0
i'd,40.0
parents,40.0
eat,40.0
seriously,40.0
buy,40.0
dad,40.0
house,40.0
each,40.0
far,40.0
earth,40.0
&lt,40.0
dream,40.0
tonight,39.0
idea,39.0
forever,39.0
fine,39.0
lose,39.0
couldnt,39.0
gave,39.0
sir,39.0
crazy,39.0
lonely,39.0
break,39.0
especially,39.0
me:,38.0
cool,38.0
hit,38.0
eyes,38.0
during,38.0
ended,38.0
stream,38.0
name,38.0
games,37.0
what's,37.0
sleep,37.0
account,37.0
cop,37.0
side,37.0
aint,37.0
passed,37.0
sounds,37.0
learn,37.0
wonder,36.0
close,36.0
either,36.0
joke,36.0
woman,36.0
condolences,36.0
single,36.0
top,36.0
nobody,36.0
send,36.0
hi,36.0
worst,36.0
wasnt,36.0
tweets,35.0
mind,35.0
matter,35.0
forward,35.0
means,35.0
mine,35.0
:),35.0
asf,35.0
goes,35.0
soul,35.0
amount,35.0
passing,35.0
kill,35.0
racist,35.0
e,35.0
comes,35.0
case,35.0
son,35.0
sa,34.0
we're,34.0
she's,34.0
exactly,34.0
government,34.0
problem,34.0
yea,34.0
half,34.0
fr,34.0
past,34.0
words,34.0
arent,34.0
liked,33.0
longer,33.0
support,33.0
team,33.0
knowing,33.0
book,33.0
america,33.0
mother,33.0
ha,33.0
v,33.0
thoughts,33.0
social,33.0
yo,33.0
mood,33.0
dog,33.0
tragic,32.0
fight,32.0
couple,32.0
food,32.0
haven't,32.0
telling,32.0
birthday,32.0
place,32.0
y,32.0
under,32.0
hug,32.0
brother,32.0
asked,31.0
behind,31.0
finished,31.0
broke,31.0
pass,31.0
lie,31.0
knife,31.0
waiting,31.0
move,31.0
business,31.0
memories,31.0
id,31.0
*sad,31.0
lil,31.0
affairs,31.0
yourself,31.0
milk,30.0
shows,30.0
:((,30.0
finally,30.0
run,30.0
everyday,30.0
win,30.0
dear,30.0
couldn't,30.0
album,30.0
mental,30.0
party,30.0
prayers,30.0
character,30.0
community,30.0
attention,30.0
worse,29.0
weeks,29.0
stories,29.0
open,29.0
actual,29.0
genuinely,29.0
pay,29.0
shot,29.0
hair,29.0
cat,29.0
10,29.0
late,29.0
enjoy,29.0
write,29.0
upset,29.0
needed,29.0
wasn't,29.0
low,29.0
car,29.0
second,29.0
stupid,29.0
supposed,29.0
anyway,28.0
gives,28.0
@sitaramyechury,28.0
65,28.0
playlist,28.0
losing,28.0
bring,28.0
huge,28.0
word,28.0
living,28.0
themselves,28.0
strong,27.0
dying,27.0
officer,27.0
forget,27.0
wouldnt,27.0
small,27.0
drink,27.0
photo,27.0
early,27.0
:/,27.0
surprised,27.0
short,27.0
check,27.0
stopped,27.0
aren't,27.0
wants,27.0
american,27.0
favourite,27.0
nigga,26.0
terrible,26.0
positive,26.0
smile,26.0
follow,26.0
sweet,26.0
bet,26.0
abt,26.0
wife,26.0
lyrics,26.0
),26.0
course,26.0
phone,26.0
looked,26.0
hand,26.0
vote,26.0
emotions,26.0
band,26.0
spend,26.0
//,26.0
respect,26.0
type,26.0
tried,26.0
whatever,25.0
kept,25.0
art,25.0
comments,25.0
seem,25.0
incredibly,25.0
nah,25.0
share,25.0
scary,25.0
lovely,25.0
totally,25.0
boys,25.0
safe,25.0
morning,25.0
tl,25.0
shame,25.0
funeral,25.0
worth,25.0
picture,25.0
health,25.0
knows,25.0
happens,25.0
likes,25.0
deserve,25.0
society,25.0
month,25.0
trump,25.0
war,25.0
feelings,25.0
company,24.0
important,24.0
bought,24.0
system,24.0
rich,24.0
group,24.0
let's,24.0
oxygen,24.0
given,24.0
sense,24.0
summer,24.0
between,24.0
fat,24.0
shooting,24.0
killing,24.0
future,24.0
club,24.0
fast,24.0
lived,23.0
history,23.0
final,23.0
dies,23.0
wake,23.0
